Perimeter,Area,MinR,MaxR,Major_axis,Minor_axis,Orientation,Convex_hull_perimeter,Convex_hull_area,Aspect ratio,Circularity,Roundness,Area equivalent diameter,Perimeter equivalent diameter,Compactness,Solidity,Concavity,Convexity,Shape,Shape factor,R factor,Modification ratio,Sphericity,Bounding box area,Rectangularity,Eccentricity,Equiv_elipse_area,Max_feret,Min_feret,Elongation,HU1,HU2,HU3,HU4,HU5,HU6,HU7,FD1,FD2,FD3,FD4
"178,27","2246,5","23,85","29,18","58,05","49,39","63,92","171,02","2276,5","1,18","0,89","0,85","53,48","56,74","7,02","0,99",30,"0,96","14,15","0,91","0,94","0,82","0,82",2856,"0,79","0,63","9007,35","58,31","50,01","1,17","0,79","3,21","4,51","-12,69","-8,68","12,26","6,65","1,51","0,51","0,13","26,78"
"152,71",1647,"20,62","25,64","49,7","42,63","167,33","146,84","1674,5","1,17","0,89","0,85","45,79","48,61","6,5","0,98","27,5","0,96","14,16","0,86","0,94","0,83","0,8",2058,"0,8","0,37","6656,65","51,26","42,17","1,22","0,79","3,19","4,62","-12,88","-8,6","12,66","6,86","2,19","0,26","2,21","22,66"
"174,85",2143,"24,35","28,46","54,97","49,9","110,35","167,06",2182,"1,1","0,88","0,9","52,24","55,66","7,05","0,98",39,"0,96","14,27","0,93","0,97","0,89","0,86",2805,"0,76","0,75","8617,59","56,46","50,6","1,12","0,8","3,69","5,56","14,8","9,96","-14,84","7,93","0,93","0,16","0,05","26,15"
"156,37",1744,"21,19","25,6","50,71","44,85","59,96","150,94",1763,"1,13","0,9","0,86","47,12","49,77","6,62","0,99",19,"0,97","14,02","0,92","0,95","0,84","0,83",2300,"0,76","0,74","7144,72","51,04","44,72","1,14","0,79","3,29","4,35","12,14","8,29","12,95","6,64","2,45","1,52","3,57","23,03"
"171,78","2113,5","24,17","27,39","54,36",50,"111,98","165,29",2143,"1,09","0,9","0,91","51,87","54,68","7,04","0,99","29,5","0,96","13,96","0,96","0,97","0,89","0,88",2703,"0,78","0,89","8538,09","54,78","50,14","1,09","0,8","3,86","5,86","-15,59","-10,37","-17,79","8,44","0,69","0,11","0,09","25,95"
"141,88",1423,"19,65","22,79","44,92","40,42","51,15","135,88","1447,5","1,11","0,89","0,9","42,57","45,16","6,35","0,98","24,5","0,96","14,15","0,98","0,96","0,87","0,86",1806,"0,79","0,98","5704,92","45,45","41,33","1,1","0,8","3,58","6,36","16,25","10,54","16,75","8,7","0,82","0,08","0,12","21,28"
"143,05",1420,18,"24,63","48,8","37,58","0,44","137,34",1442,"1,3","0,87","0,76","42,52","45,54","6,09","0,98",22,"0,96","14,41","0,74","0,9","0,74","0,73",1850,"0,77","0,49","5761,68","49,25","39,21","1,26","0,78","2,69","5,18","13,55","9,03","-12,96","6,9","4,06","0,84","1,43","21,39"
"148,47","1581,5","21,19","23,44","45,93","44,33","105,32","142,95","1603,5","1,04","0,9","0,95","44,87","47,26","6,62","0,99",22,"0,96","13,94",1,"0,99","0,92","0,9",2025,"0,78","0,57","6397,29","46,87","44,71","1,05","0,8","4,86","5,17","-15,62","11,07","15,62","8,59","0,14","0,22","0,03","22,45"
"143,3","1417,5","18,97","24,52","47,16","38,88","18,73","137,17",1440,"1,21","0,87","0,81","42,48","45,61","6,19","0,98","22,5","0,96","14,49","0,83","0,93","0,8","0,77",1920,"0,74","0,97","5760,65","49,04","39,53","1,24","0,79","3,01","4,16","11,19","7,71","-11,24","5,98","1,67","0,69","0,28","21,31"
"157,54",1718,"20,88","26,75","52,41","42,45","158,36","151,05",1746,"1,23","0,87","0,8","46,77","50,15","6,46","0,98",28,"0,96","14,45","0,82","0,92","0,8","0,78",2142,"0,8","0,38","6990,69","53,49","43,07","1,24","0,79","2,97","4,15",11,"7,61","11,03","5,86","1,91","0,71","0,35","23,46"
"154,37",1699,"21,59","24,62","48,42","44,77","89,97","148,15",1725,"1,08","0,9","0,92","46,51","49,14","6,68","0,98",26,"0,96","14,03","0,94","0,97","0,89","0,88",2254,"0,75","0,7","6810,54","49,24","45,11","1,09","0,8","3,84","5,33","-15,23","-10,31","16,76","8,38","0,63","0,19","0,12","23,25"
"150,95","1639,5","21,84","23,73","46,92","44,77","58,22","145,37","1659,5","1,05","0,9","0,95","45,69","48,05","6,67","0,99",20,"0,96","13,9","0,98","0,99","0,93","0,92",2162,"0,76","0,95","6598,76","47,2","44,93","1,05","0,8","4,29","6,19","18,04","12,95","-17,62","9,66","0,39","0,12","0,1","22,86"
"158,37",1752,"20,88","26,06","52,29","43,11","148,17","151,4",1782,"1,21","0,88","0,82","47,23","50,41","6,53","0,98",30,"0,96","14,32","0,96","0,92","0,8","0,8",2303,"0,76","0,67","7081,95","52,01","45,2","1,15","0,79","3,09","4,68","-12,73","-8,53","12,45","6,7","1,56","0,39","0,28","23,66"
"130,81","1216,5","17,46","22,16","43,93","35,73","150,6","126,33",1233,"1,23","0,89","0,8","39,36","41,64","5,94","0,99","16,5","0,97","14,07","0,93","0,92","0,8","0,79",1558,"0,78","0,21","4932,01","44,29","36,33","1,22","0,79","2,97","4,88","12,82","8,54","12,69","6,77","1,78","0,37","0,33","19,69"
"155,3","1751,5",22,"24,99","48,79","46,29","100,18","150,5","1769,5","1,05","0,91","0,94","47,22","49,43","6,76","0,99",18,"0,97","13,77","0,96","0,98","0,9","0,88",2208,"0,79","0,92","7095,37","49,77","46,81","1,06","0,8","4,19","5,14","15,37","10,98","-14,63","8,04","0,42","0,23","0,06","23,6"
"154,12","1681,5","20,88","25,54","49,88","43,11","19,63","147,92",1707,"1,16","0,89","0,86","46,27","49,06","6,55","0,99","25,5","0,96","14,13","0,9","0,94","0,84","0,82",2064,"0,81","0,22","6755,44","51,08","44,65","1,14","0,79","3,22","4,92","13,06","8,85","-12,97","6,93","1,38","0,29","0,08","23,17"
"149,54",1576,"20,4","24,47","47,99","42,02","1,85","143,3",1603,"1,14","0,89","0,87","44,8","47,6","6,47","0,98",27,"0,96","14,19","0,88","0,95","0,85","0,83",2107,"0,75","0,56","6335,11","48,84","43,41","1,12","0,79","3,39","4,9","13,35","9,04","-13,48","7,2","0,99","0,42","3,38","21,76"
"146,12","1487,5","18,79","25,22","49,9","38,1","173,42","140,26","1511,5","1,31","0,88","0,76","43,52","46,51","6,16","0,98",24,"0,96","14,35","0,8","0,89","0,75","0,74",2000,"0,74","0,34","5973,08","50,45","39,31","1,28","0,78","2,74","5,7","13,87","8,74","-14,73","7,34","1,7","0,47","1,44","21,55"
"172,02",2025,"22,09","27,84","55,16","47,48","3,62","164,09",2065,"1,16","0,86","0,85","50,78","54,76","6,84","0,98",40,"0,95","14,61","0,91","0,95","0,8","0,79",2750,"0,74","0,75","8227,45","54,59","48,7","1,12","0,79","3,32","3,7","11,06","7,8","-12,05","6,14","1,21","1,28","0,08","25,41"
"149,88",1608,20,"24,75","48,68","42,65","6,03","144,72","1627,5","1,14","0,9","0,86","45,25","47,71","6,48","0,99","19,5","0,97","13,97","0,86","0,95","0,82","0,81",2058,"0,78","0,72","6522,74","49,48","40,81","1,21","0,79","3,25","6,43","-15,49","-9,83","-15,91","8,16","1,28","0,07","0,13","22,65"
"166,95","1938,5","21,21","28,05","56,23","44,46","2,15","159,93","1970,5","1,26","0,87","0,78","49,68","53,14","6,63","0,98",32,"0,96","14,38","0,79","0,91","0,75","0,76",2464,"0,79","0,04","7854,39","56,09","49,65","1,13","0,79","2,83","5,13","-13,39","-8,71","-13,05","6,96","3,11","0,65","3,03","24,4"
"141,64","1431,5","19,65","23,72","46,44","39,76","145,54","136,67","1450,5","1,17","0,9","0,85","42,69","45,09","6,27","0,99",19,"0,96","14,01","0,98","0,94","0,85","0,83",1806,"0,79","0,58","5799,54","47,43","40,49","1,17","0,79","3,25","5,32","14,23","9,52","13,91","7,47","1,22","0,13","0,07","21,37"
"147,88",1555,"20,88","23,36","46,11","43,18","173,62","141,79","1579,5","1,07","0,89","0,93","44,5","47,07","6,55","0,98","24,5","0,96","14,06","0,96","0,98","0,91","0,89",2024,"0,77","0,93","6255,9","46,62","43,32","1,08","0,8","4,03",5,"15,46","10,61","-15,58","8,57","0,37","0,25","1,99","21,95"
"176,85",2169,"22,36","28,38","57,04","49,13","15,26","168,86",2218,"1,16","0,87","0,85","52,55","56,29","6,96","0,98",49,"0,95","14,42","0,93","0,94","0,78","0,79",2912,"0,74","0,68","8804,19","56,75","48,44","1,17","0,79","3,21","4,46","-11,65","-7,91","-12,15","6,27","0,79","0,65","0,87","26,15"
"159,78","1811,5","22,36","25,06","48,72","47,66","97,66","153,25",1845,"1,02","0,89","0,97","48,03","50,86","6,88","0,98","33,5","0,96","14,09",1,1,"0,92","0,89",2401,"0,75","0,89","7295,34","50,12","47,14","1,06","0,8","4,9","5,13","-14,78","11,81","-14,17","7,73","0,96","0,51","0,73","23,86"
"135,05",1301,19,"21,28","41,24","40,45","108,58",130,1323,"1,02","0,9","0,97","40,7","42,99","6,34","0,98",22,"0,96","14,02","0,95",1,"0,92","0,89",1680,"0,77","0,99","5241,08","42,19","40,56","1,04","0,8","5,25","5,04","16,93","-12,62","-15,47","8,63","0,1","0,22","0,11","20,35"
"157,54",1746,"21,47","25,27","50,6","44,37","15,28","150,62",1773,"1,14","0,88","0,87","47,15","50,15","6,63","0,98",27,"0,96","14,21","0,92","0,95","0,85","0,85",2300,"0,76","0,68","7053,89","50,45","44,59","1,13","0,79","3,43","4,87","-13,48","-9,09","14,13","7,35","1,03","0,34","0,12","23,6"
"155,2",1719,"21,21","24,74","48,78","45,11","9,47","149,13",1745,"1,08","0,9","0,92","46,78","49,4","6,7","0,99",26,"0,96","14,01","0,96","0,97","0,87","0,86",2208,"0,78","0,64","6912,18","49,48","45,54","1,09","0,8","3,92","4,78","-14,44","-10,21","14,13","7,8","0,57","0,35","0,09","23,4"
"156,02",1696,"20,81","25,47","50,57","43,72","158,97","149,42",1724,"1,16","0,88","0,84","46,47","49,66","6,53","0,98",28,"0,96","14,35","0,94","0,94","0,82","0,82",2254,"0,75","0,75","6945,37","49,77","44,16","1,13","0,79","3,57","3,9","-11,63","-8,21","-11,62","6,35","0,89",1,"0,16","23,25"
"150,61","1601,5","19,21","25,28","50,39","40,87","34,01","144,99",1623,"1,23","0,89","0,8","45,16","47,94","6,36","0,99","21,5","0,96","14,16","0,94","0,92","0,76","0,76",2068,"0,77","0,74","6469,7","50,57",41,"1,23","0,79","2,95","4,84","12,89","8,47","12,5","6,69","1,71","0,31","0,08","22,61"
"137,88",1343,"18,79","22,81","44,49","38,63","155,86","132,33","1363,5","1,15","0,89","0,86","41,35","43,89","6,2","0,98","20,5","0,96","14,16","0,89","0,95","0,84","0,82",1800,"0,75","0,54","5399,3","45,61","39,38","1,16","0,79","3,27","5,54","14,54","9,48","15,6","7,84","1,17","0,14","0,13","20,69"
"147,64","1545,5","19,42","23,99","48,26","41,35","8,6","142,11",1571,"1,17","0,89","0,85","44,36",47,"6,39","0,98","25,5","0,96","14,1","0,87","0,94","0,8","0,81",1927,"0,8","0,27","6269,08","47,8","40,77","1,17","0,79","3,28","5,25","-13,82","-9,13","-14,05","7,42","1,15","0,16","0,05","22,21"
"149,3","1564,5",20,"24,03","46,68","43,57","6,83","142,89",1589,"1,07","0,88","0,91","44,63","47,52","6,53","0,98","24,5","0,96","14,25","0,9","0,97","0,86","0,83",2064,"0,76","0,58","6390,28","48,05","43,96","1,09","0,79","3,58","4,23","-12,56","-8,74","-12,33","6,77","0,89","0,64","0,13","22,36"
"168,37",2002,"23,35","26,7","53,35","48,12","94,75","160,81","2031,5","1,11","0,89","0,9","50,49","53,59","6,91","0,99","29,5","0,96","14,16","0,92","0,96","0,88","0,87",2597,"0,77","0,68","8064,55","53,16","49,02","1,08","0,8","3,64","6,34","17,57","-10,62","-16,15","8,65","0,87","0,1","0,07","25,27"
"146,81","1487,5",18,"25,01","48,6","40,42","177,47","141,82","1513,5","1,2","0,87","0,8","43,52","46,73","6,24","0,98",26,"0,97","14,49","0,76","0,93","0,74","0,72",1900,"0,78","0,26","6171,36","50,01","41,11","1,22","0,78","2,79","4,03","-10,82","-7,3","10,61","5,69","4,47","1,24","3,2","21,11"
"151,54",1602,"19,42","25,55","50,73","40,78","170,96","145,58",1627,"1,24","0,88","0,79","45,16","48,24","6,34","0,98",25,"0,96","14,33","0,84","0,91","0,77","0,76",2100,"0,76","0,65",6499,"50,96","40,79","1,25","0,79","2,92","4,22","-11,42","-7,66","-11,75","6,18","1,83","0,64","0,15","22,64"
"179,68",2239,"24,04","29,3","57,53","49,83","174,37","171,2",2281,"1,15","0,87","0,86","53,39","57,19","7,04","0,98",42,"0,95","14,42","0,86","0,95","0,84","0,82",3009,"0,74","0,89","9005,83","58,55","50,91","1,15","0,79","3,31","4,4","12,42","8,49","-13,09","6,81","1,45","0,57","0,1","26,73"
"156,95","1714,5","19,65","27,06","54,66","40,39","171,55","151,02","1738,5","1,35","0,87","0,73","46,72","49,96","6,32","0,99",24,"0,96","14,37","0,76","0,88","0,72","0,73",2214,"0,77","0,43","6936,45","54,13","41,6","1,3","0,78","2,69","4,36","11,75","8,04","-11,25","6,03","2,41","0,55","0,11","23,45"
"199,92","2877,5",28,"31,73","63,02","58,57","3,78","192,22",2907,"1,08","0,9","0,92","60,53","63,64","7,62","0,99","29,5","0,96","13,89","0,92","0,97","0,89","0,88",3654,"0,79","0,83","11596,08","63,32","59,45","1,07","0,8","3,8","6,08","17,33","11,1","-16,5","8,97","1,35","0,29","0,47","30,2"
"163,2",1870,"22,47","25,58","50,39","47,48","57,52","155,68","1902,5","1,06","0,88","0,94","48,8","51,95","6,87","0,98","32,5","0,95","14,24","0,98","0,98","0,89","0,88",2352,"0,8","0,69","7516,35","51,11","46,8","1,09","0,8","4,03","4,78","-13,41","-9,52","13,63","7,3","0,56","0,36","0,21","24,39"
"166,95","1960,5","22,2","27,81","53,72","47,32","25,51","161,34",1986,"1,14","0,88","0,86","49,96","53,14","6,82","0,99","25,5","0,97","14,22","0,9","0,96","0,83","0,8",2444,"0,8","0,56","7985,52","55,07","46,13","1,19","0,79","3,4","3,88","12,26","-8,2","-10,97","6,02","1,23","1,01","0,25",25
"162,95","1900,5","22,36","26,93","53,41","45,96","152,19","157,35",1926,"1,16","0,9","0,85","49,19","51,87","6,73","0,99","25,5","0,97","13,97","0,9","0,94","0,84","0,83",2346,"0,81","0,28","7711,94","53,85","46,81","1,15","0,79","3,28","4,96","13,65","10,2","13,09","7,06","1,21","0,46","1,63","24,44"
"170,37",2063,"23,54","27,97","54,13","49,15","148,35","163,83",2095,"1,1","0,89","0,9","51,25","54,23","6,97","0,98",32,"0,96","14,07","0,91","0,96","0,87","0,84",2544,"0,81","0,76","8357,77","55,95","49,32","1,13","0,79","3,52","5,98","15,8","10,66","-15,69","8,4","1,1","0,07","0,09","25,67"
"153,05",1673,21,"24,25","47,91","45,26","2,07","147,22","1695,5","1,06","0,9","0,93","46,15","48,72","6,67","0,99","22,5","0,96",14,"0,92","0,98","0,88","0,87",2112,"0,79","0,72","6812,23","48,41","46,51","1,04","0,8","3,83","5,17","-14,71","-10,29","-14,97","8,05","1,74","0,86","1,78","22,89"
"174,37",2181,"23,54","28,44","56,81","49,9","167,27","168,32","2205,5","1,14","0,9","0,86","52,7","55,5","6,99","0,99","24,5","0,97","13,94","0,86","0,94","0,83","0,83",2688,"0,81","0,86","8906,03","56,86","48,78","1,17","0,79","3,27","5,32","-13,75","-9,12","13,74","7,29","1,42","0,24","0,13","26,4"
"173,68",2118,"23,35","28,54","56,07","48,22","4,78","166,07",2152,"1,16","0,88","0,86","51,93","55,28","6,93","0,98",34,"0,96","14,24","0,88","0,94","0,83","0,82",2850,"0,74","0,82","8495,26","57,07","50,09","1,14","0,79","3,24","4,61","12,45","8,39","-13,5","6,76","1,44","0,45","0,1","25,98"
"159,54",1770,"20,88","27,06",53,"42,78","1,11","152,71","1798,5","1,24","0,87","0,8","47,47","50,78","6,52","0,98","28,5","0,96","14,38","0,8","0,92","0,79","0,77",2322,"0,76","0,56","7122,79","54,13","41,77","1,3","0,79","2,9","5,03","12,95","8,44","12,95","6,86","2,04","0,27","0,11","23,81"
"175,54",2126,22,"29,48","58,97","47,09","163,41","168,85","2159,5","1,25","0,87","0,78","52,03","55,88","6,78","0,98","33,5","0,96","14,49","0,79","0,91","0,75","0,75",2668,"0,8","0,58","8724,17","58,94","45,96","1,28","0,78","2,75","4,39","12,01","8,26","-11,51","6,2","2,64","0,57","0,23","26,15"
"161,78","1877,5","23,09","25,45","49,8","48,14","114,51","155,61",1904,"1,03","0,9","0,96","48,89","51,5","6,93","0,99","26,5","0,96","13,94","0,98","0,99","0,93","0,91",2352,"0,8","0,77","7532,02","50,7","48,2","1,05","0,8","4,54","5,38","-17,07","-11,7","-16,87","9,41","0,36","0,16","0,07","24,47"
"160,95","1851,5",22,"26,2","51,68","46,31","169,87","155,07","1876,5","1,12","0,9","0,88","48,55","51,23","6,75","0,99",25,"0,96","13,99","0,88","0,96","0,85","0,84",2392,"0,77","0,7","7518,59","52,39","47,15","1,11","0,79","3,39","4,54","-12,92","-8,92","12,71","6,91","1,68","0,98","0,73","24,28"
"146,47","1538,5",21,"22,96","44,7","44,3","159,87","140,89",1561,"1,01","0,9","0,98","44,26","46,62","6,62","0,99","22,5","0,96","13,94","0,98",1,"0,94","0,91",1892,"0,81","0,76","6220,88","45,65","44,59","1,02","0,8","5,55","5,14","16,11","-11,83","-16,61","9,01","0,13","0,22","0,06","22,13"
"143,54",1495,"20,51","22,97","44,87","43,28","127,78","139,16",1511,"1,04","0,91","0,95","43,63","45,69","6,51","0,99",16,"0,97","13,78",1,"0,99","0,91","0,89",1936,"0,77","0,29","6100,1","45,31","43,96","1,03","0,8","4,85","4,65","16,15","11,63","-15,99","9,06","1,32","1,08","3,03","21,25"
"142,47","1434,5",20,"22,56","44,51","41,17","175,69","136,17","1458,5","1,08","0,89","0,92","42,74","45,35","6,41","0,98",24,"0,96","14,15","0,93","0,97","0,9","0,89",1890,"0,76","0,77","5757,31","45,12","41,74","1,08","0,8","3,83","6,46","17,63","-12,44","17,37","9,39","0,6","0,02","0,1","21,38"
"153,54",1660,"21,38","24,47","46,92","45,54","176,44","146,98","1687,5","1,03","0,88","0,96","45,97","48,87","6,71","0,98","27,5","0,96","14,2","0,96",1,"0,91","0,87",2208,"0,75","0,99","6712,63","47,68","44,97","1,06","0,8","5,02","4,43","14,68","10,93","-14,61","8,18","0,25","0,52","0,18",23
"174,85",2189,25,"27,38","54,03","51,78","94,08","167,61",2217,"1,04","0,9","0,95","52,79","55,66","7,18","0,99",28,"0,96","13,97","0,96","0,99","0,93","0,91",2808,"0,78","0,9","8789,99","54,59","52,18","1,05","0,8","4,22","5,6","-15,97","-10,98","-16,14","8,73","0,5","0,17","0,07","26,4"
"155,54",1741,"22,36","24,39","48,15","46,44","7,98","149,71","1764,5","1,04","0,9","0,96","47,08","49,51","6,78","0,99","23,5","0,96","13,9","0,98","0,99","0,93","0,92",2256,"0,77","0,6","7024,62","48,76","46,96","1,04","0,8","4,63","7,27","18,66","13,47","18,93","9,98","0,25","0,02","0,12","23,55"
"157,3","1758,5",22,"25,11","49,26","45,83","73,35","150,63","1783,5","1,07","0,89","0,92","47,32","50,07","6,74","0,99",25,"0,96","14,07","0,94","0,97","0,89","0,88",2254,"0,78","0,39","7093,61","50,22","46,49","1,08","0,8","3,86","7,42","-18,3","11,43","17,61","9,26","0,66","0,03","0,04","23,68"
"167,2",1562,"16,76","24,62","50,04","41,61","68,67","146,51",1665,"1,2","0,7","0,79","44,6","53,22","6,3","0,94",103,"0,88","17,9",1,"0,93","0,67","0,68",2116,"0,74","0,19","6540,12","48,7","44,27","1,1","0,77","3,26","3,71","-9,58","-6,69","9,44",5,"0,96","1,05","3,4","21,6"
"151,88",1656,"21,84","24,13","47,27","45,1","64,08","146,09","1677,5","1,05","0,9","0,94","45,92","48,35","6,68","0,99","21,5","0,96","13,93","0,96","0,98","0,92","0,9",2115,"0,78","0,88","6697,79","48,26",46,"1,05","0,8","4,17","5,59","15,84","11,2","16,11","8,66","0,44","0,14","0,06","22,96"
"149,3","1587,5","20,88","24,03","47,79","42,54","11,8","143,3","1610,5","1,12","0,9","0,89","44,96","47,52","6,5","0,99",23,"0,96","14,04","0,9","0,95","0,87","0,87",2064,"0,77","0,92","6386,28","48,05","43,9","1,09","0,79","3,45","6,38","17,14","11,25","16,54","8,89","1,24","0,63","0,95","22,38"
"164,02",1939,"23,35","26,1","51,18","48,62","179,08","158,03","1962,5","1,05","0,91","0,94","49,69","52,21","6,95","0,99","23,5","0,96","13,88","0,94","0,98","0,91","0,89",2548,"0,76","0,89","7816,42","52,17","49,02","1,06","0,8","4,14","5,12","15,29","10,65","-15,42","8,42","0,52","0,26","0,05","24,84"
"164,37",1912,"22,02","26,87","53,33","46,07","109,58","157,66","1939,5","1,16","0,89","0,86","49,34","52,32","6,76","0,99","27,5","0,96","14,13","0,89","0,94","0,83","0,82",2491,"0,77","0,69","7719,34","53,71","46,1","1,17","0,79","3,26","4,95","-13,56",-9,"-13,39","7,22","1,37","0,3","0,23","24,69"
"156,37",1743,"22,2","24,63","48,59","45,82","103,78","149,74","1769,5","1,06","0,9","0,94","47,11","49,77","6,76","0,99","26,5","0,96","14,03","0,92","0,98","0,91","0,9",2205,"0,79","0,88","6994,21","49,04","46,08","1,06","0,8","4,07","6,3","-17,87","-11,92","17,64","9,62","0,49","0,05","0,1","23,56"
"156,37",1734,"21,84","24,69","48,91","45,2","91,84","149,47","1761,5","1,08","0,89","0,92","46,99","49,77","6,72","0,98","27,5","0,96","14,1","0,92","0,97","0,89","0,88",2300,"0,75","0,45","6945,43","49,37","45,6","1,08","0,8","3,76","5,59","-15,35","-10,26","17,21","8,37","0,74","0,16","0,06","23,51"
"246,31",1986,"14,42","29,6","57,92","48,29","59,88","172,99",2336,"1,2","0,41","0,75","50,29","78,4","6,61","0,85",350,"0,7","30,55","0,95","0,95","0,5","0,49",2860,"0,69","0,6","8786,12","59,2","52,7","1,12","0,7","2,87","3,95","8,31","-6,31","8,04","4,01","3,15","2,73","12,05","19,76"
"156,12","1746,5","22,36","24,53","48,11","46,52","56,24","149,89",1771,"1,03","0,9","0,96","47,16","49,7","6,8","0,99","24,5","0,96","13,96","0,98","0,99","0,93","0,91",2162,"0,81","0,69","7031,63","49,04","47,05","1,04","0,8","4,48","5,47","16,75","11,51","16,78","9,25","0,63","0,28","0,71","23,49"
"158,12","1772,5","21,63","25,74","50,55","44,81","156,52","151,63","1800,5","1,13","0,89","0,88","47,51","50,33","6,68","0,98",28,"0,96","14,11","0,9","0,95","0,86","0,84",2250,"0,79","0,54","7115,79","51,48","45,03","1,14","0,79","3,45","5,11","14,64","10,5","-14,28","7,79","1,1","0,22","0,06","23,78"
"160,12","1830,5","21,84","26,93","52,79","45,03","150,5","154,72",1852,"1,17","0,9","0,84","48,28","50,97","6,64","0,99","21,5","0,97","14,01","0,9","0,93","0,83","0,81",2250,"0,81","0,46","7467,35","53,85","46,87","1,15","0,79","3,18","4,47","12,09","8,35","12,1","6,47","1,46","0,54","0,08","24,2"
"155,78","1713,5",20,"26,71","53,19",42,"138,77","150,68",1733,"1,27","0,89","0,77","46,71","49,59","6,4","0,99","19,5","0,97","14,16","0,98","0,9","0,75","0,75",2162,"0,79","0,26","7018,06","53,41","42,4","1,26","0,78","2,8","4,82","12,24","7,96","-13,5","6,55","2,21","0,32","0,12","23,45"
"139,88",1391,"18,79","23,52","46,53","38,43","41,34","134,87",1410,"1,21","0,89","0,82","42,08","44,53","6,17","0,99",19,"0,96","14,07",1,"0,92","0,81","0,8",1849,"0,75",0,"5617,77","47,01","39,1","1,2","0,79","3,04","5,09","13,99","9,52","13,47","7,27","1,52","0,22","0,09","21,09"
"160,37",1789,"20,88","27,46","54,4","41,9","3,76","153,74",1815,"1,3","0,87","0,77","47,73","51,05","6,47","0,99",26,"0,96","14,38","0,78","0,9","0,77","0,76",2365,"0,76","0,6","7160,51","54,92","43,01","1,28","0,78","2,77","4,83","12,15","7,88","-13,45","6,49","2,33","0,3","0,02","23,96"
"145,64","1515,5",21,"22,91","44,69","43,8","46,9","139,98",1538,"1,02","0,9","0,97","43,93","46,36","6,57","0,99","22,5","0,96",14,"0,98",1,"0,94","0,92",1892,"0,8","0,26","6150,05","45,8","43,93","1,04","0,8","4,95","5,86","15,7","10,9","15,63","8,39","0,45","0,21","2,89","21,52"
"168,02",2006,"23,35","27,52","54,01","47,46","68,52","161,01",2034,"1,14","0,89","0,88","50,54","53,48","6,88","0,99",28,"0,96","14,07","0,91","0,95","0,86","0,85",2646,"0,76","0,6",8054,"55,04","48,26","1,14","0,79","3,37","5,26","13,93","9,22","-14,88","7,53","1,23","0,21","0,11","25,29"
"155,54",1116,"9,85","32,78","69,73","20,99","158,35","148,04",1148,"3,32","0,58","0,29","37,7","49,51","4,51","0,97",32,"0,95","21,68","0,53","0,68","0,28","0,3",2046,"0,55","0,64","4598,12","65,55","21,54","3,04","0,56","1,29","4,11","9,08","5,43","9,49","4,66","5,9","0,5","0,18","17,8"
"166,89","1536,5","13,89","32,93","71,88","29,84","53,92","161,1","1590,5","2,41","0,69","0,38","44,23","53,12","5,22","0,97",54,"0,97","18,13","0,83","0,71","0,39","0,42",2784,"0,55","0,33","6738,68","65,86","29,07","2,27","0,64","1,61","3,54","8,12","5,1","-8,46","4,21","6,66","2,92","2,87","22,72"
"165,15","1380,5","13,04","33,31","72,49","26,21","87,03","159,28","1465,5","2,77","0,64","0,33","41,93","52,57","4,92","0,94",85,"0,96","19,76","0,43","0,7","0,36","0,39",1943,"0,71","0,23","5969,44","66,61","28,01","2,38","0,61","1,47","2,94","6,8","4,39","-7,15","3,53","8,08","1,41","0,97","22,12"
"176,99",1656,"14,14","37,14","74,21","29,95","136,54","170,67",1695,"2,48","0,66","0,38","45,92","56,34","5,33","0,98",39,"0,96","18,92","0,98","0,73","0,38","0,38",2970,"0,56","0,28","6982,98","74,28","30,2","2,46","0,64","1,6","3,8","-9,68","-5,89","9,27","4,89","8,18","0,74","0,47","24,15"
"169,88",1387,12,"35,65","74,78","24,53","77,71","162,74",1438,"3,05","0,6","0,32","42,02","54,08","4,86","0,96",51,"0,96","20,81","0,44","0,69","0,32","0,34",2170,"0,64","0,46","5762,54","71,31","26,17","2,72","0,58","1,36","3,93","-10,25","-5,96","9,29","4,88","8,84","0,94","0,9","22,28"
"155,1","1262,5","12,73","32,33","64,24","26,12","44,35","149,16","1303,5","2,46","0,66","0,39","40,09","49,37",5,"0,97",41,"0,96","19,05","0,84","0,74","0,4","0,39",2193,"0,58","0,8","5272,03","64,66","26,8","2,41","0,64","1,59","4,02","10,06","-6,62","9,51","4,99","7,19","0,5","0,37","21,11"
"186,07","1771,5","14,85","39,32","78,47","30,57","135,23","179,09","1823,5","2,57","0,64","0,37","47,49","59,23","5,36","0,97",52,"0,96","19,54","0,88","0,73","0,38","0,38",3180,"0,56","0,2","7535,58","78,52","30,5","2,57","0,63","1,55","3,92","-10,16","-6,05","9,43","4,97","8,97","0,69","0,4","25,2"
"161,68",1235,"11,18","34,68","69,26","23,01","61,66","154,71","1267,5","3,01","0,59","0,33","39,65","51,46","4,76","0,97","32,5","0,96","21,17","0,63","0,71","0,32","0,32",2418,"0,51","0,55","5006,42","69,35","23,88","2,9","0,58","1,35","3,82","-9,88","-5,83","-9,12","4,8","6,3",1,"4,16","19,03"
